,Unnamed: 0,title,date,geo,rating
7,7,Sebastian Kurz,2017,AT,8
8,8,Stiwoll,2017,AT,9
9,9,Ski WM,2017,AT,10
0,0,Fußball WM,2018,AT,1
1,1,Avicii,2018,AT,2
2,2,Daniel Küblböck,2018,AT,3
3,3,Jens Büchner,2018,AT,4
4,4,Olympische Winterspiele,2018,AT,5
5,5,Meghan Markle,2018,AT,6
6,6,Mondfinsternis,2018,AT,7
7,7,Bitcoin Kurs,2018,AT,8
8,8,Australian Open,2018,AT,9
9,9,Wimbledon,2018,AT,10
0,0,Strache,2019,AT,1
1,1,Notre Dame,2019,AT,2
2,2,Dominic Thiem,2019,AT,3
3,3,EU-Wahlergebnisse,2019,AT,4
4,4,iPhone 11,2019,AT,5
5,5,30 Jahre Mauerfall,2019,AT,6
6,6,Nationalratswahl,2019,AT,7
7,7,Julen,2019,AT,8
8,8,Böhmermann,2019,AT,9
9,9,Kurz,2019,AT,10
0,0,Coronavirus,2020,AT,1
1,1,US Wahl,2020,AT,2
2,2,French Open,2020,AT,3
3,3,Dominic Thiem,2020,AT,4
4,4,Kobe Bryant,2020,AT,5
5,5,Joe Biden,2020,AT,6
6,6,iPhone 12,2020,AT,7
7,7,Dow Jones,2020,AT,8
8,8,PS5,2020,AT,9
9,9,US Open,2020,AT,10
0,0,Games,2008,AU,1
1,1,Sydney,2008,AU,2
2,2,YouTube,2008,AU,3
3,3,Myspace,2008,AU,4
4,4,Facebook,2008,AU,5
5,5,Google,2008,AU,6
6,6,eBay,2008,AU,7
7,7,My,2008,AU,8
8,8,Weather,2008,AU,9
9,9,Hotmail,2008,AU,10
0,0,One HD,2009,AU,1
1,1,Twitter.com,2009,AU,2
2,2,Masterchef,2009,AU,3
3,3,Melbourne Cup 2009,2009,AU,4
4,4,Grooveshark,2009,AU,5
5,5,New Moon Movie,2009,AU,6
6,6,Facebook Search,2009,AU,7
7,7,Auto Trading Post,2009,AU,8
8,8,Smartkiddies,2009,AU,9
9,9,Currency Converter Calculator,2009,AU,10
0,0,iPhone 5,2011,AU,1
1,1,Minecraft,2011,AU,2
2,2,Cyclone Yasi,2011,AU,3
3,3,Planking,2011,AU,4
4,4,Adele,2011,AU,5
5,5,Angry Boys,2011,AU,6
6,6,Royal Wedding,2011,AU,7
7,7,Rugby World Cup,2011,AU,8
8,8,iPhone 4S,2011,AU,9
9,9,Rebecca Black,2011,AU,10
0,0,Robin Gibb,2012,AU,1
1,1,Barry Gibb,2012,AU,2
2,2,Lara Bingle,2012,AU,3
3,3,Liam Hemsworth,2012,AU,4
4,4,Delta Goodrem,2012,AU,5
5,5,Emilie De Ravin,2012,AU,6
6,6,Keith Urban,2012,AU,7
7,7,Chris Hemsworth,2012,AU,8
8,8,Claire Holt,2012,AU,9
9,9,Bindi Irwin,2012,AU,10
0,0,Paul Walker,2013,AU,1
1,1,Cory Monteith,2013,AU,2
2,2,Ricky Martin,2013,AU,3
3,3,Amanda Bynes,2013,AU,4
4,4,Rolf Harris,2013,AU,5
5,5,Lea Michele,2013,AU,6
6,6,Nigella Lawson,2013,AU,7
7,7,Charlie Hunnam,2013,AU,8
8,8,Dami Im,2013,AU,9
9,9,Lou Reed,2013,AU,10
0,0,World Cup,2014,AU,1
1,1,Malaysia Airlines,2014,AU,2
2,2,Robin Williams,2014,AU,3
3,3,Charlotte Dawson,2014,AU,4
4,4,Phil Hughes,2014,AU,5
5,5,Jennifer Lawrence,2014,AU,6
6,6,Schapelle Corby,2014,AU,7
7,7,myGov,2014,AU,8
8,8,Ebola,2014,AU,9
9,9,Flappy Bird,2014,AU,10
0,0,Netflix,2015,AU,1
1,1,Rugby World Cup,2015,AU,2
2,2,Lamar Odom,2015,AU,3
3,3,Ronda Rousey,2015,AU,4
4,4,Asian Cup,2015,AU,5
5,5,Jarryd Hayne,2015,AU,6
6,6,Jurassic World,2015,AU,7
7,7,Paris,2015,AU,8
8,8,Cricket World Cup,2015,AU,9
9,9,Agario,2015,AU,10
0,0,US election,2016,AU,1
1,1,Olympics,2016,AU,2
2,2,Census,2016,AU,3
3,3,Euro 2016,2016,AU,4
4,4,Australian Open 2016,2016,AU,5
5,5,Pokemon Go,2016,AU,6
6,6,Donald Trump,2016,AU,7
7,7,iPhone 7,2016,AU,8
8,8,David Bowie,2016,AU,9
9,9,Prince,2016,AU,10
0,0,Australian Open 2017,2017,AU,1
1,1,Melbourne Cup 2017,2017,AU,2
2,2,Wimbledon 2017,2017,AU,3
3,3,Fidget spinner,2017,AU,4
4,4,Cyclone Debbie,2017,AU,5
5,5,iPhone 8,2017,AU,6
6,6,North Korea,2017,AU,7
7,7,Chris Cornell,2017,AU,8
8,8,iPhone X,2017,AU,9
9,9,Amazon Australia site,2017,AU,10
0,0,World Cup,2018,AU,1
1,1,Commonwealth Games,2018,AU,2
2,2,Meghan Markle,2018,AU,3
3,3,Avicii,2018,AU,4
4,4,Coinspot,2018,AU,5
5,5,Anthony Bourdain,2018,AU,6
6,6,US Open Tennis,2018,AU,7
7,7,Mac Miller,2018,AU,8
8,8,Bitcoin price,2018,AU,9
9,9,Black Panther,2018,AU,10
0,0,Fires near me,2019,AU,1
1,1,Rugby World Cup,2019,AU,2
2,2,Cricket World Cup,2019,AU,3
3,3,Election results Australia 2019,2019,AU,4
4,4,Cameron Boyce,2019,AU,5
5,5,Thanos,2019,AU,6
6,6,Avengers Endgame,2019,AU,7
7,7,Danny Frawley,2019,AU,8
8,8,The fall of the Berlin wall,2019,AU,9
9,9,Christchurch shooting,2019,AU,10
0,0,US election,2020,AU,1
1,1,Coronavirus,2020,AU,2
2,2,NBA,2020,AU,3
3,3,Zoom,2020,AU,4
4,4,Coronavirus symptoms,2020,AU,5
5,5,Kobe Bryant,2020,AU,6
6,6,Weather tomorrow,2020,AU,7
7,7,Fires near me,2020,AU,8
8,8,Coronavirus Victoria,2020,AU,9
9,9,Trump vs Biden,2020,AU,10
0,0,Paul Walker,2013,BD,1
1,1,Jiah Khan,2013,BD,2
2,2,Nelson Mandela,2013,BD,3
3,3,Mita Noor,2013,BD,4
4,4,Shradda Kapoor,2013,BD,5
